         2  0.1000E+02 -0.1383E+01  0.1100E+02 -0.3900E+02 -0.3900E+02 -0.3900E+02  0.2110E+03  0.8953E+01  0.2720E+02  0.2720E+02  0.2720E+02  0.1536E+03
         4  0.3333E+01 -0.1172E+01  0.4333E+01 -0.1222E+01 -0.1222E+01 -0.1222E+01 -0.2251E+01  0.4697E+01  0.4264E-01  0.4264E-01  0.4264E-01  0.9203E+00
         8  0.1429E+01  0.1132E+01  0.2429E+01  0.1408E+01  0.1408E+01  0.1408E+01  0.1096E+01  0.1146E+01  0.2443E+00  0.2443E+00  0.2443E+00  0.3168E-01
        16  0.6667E+00  0.1404E+01  0.1667E+01  0.1444E+01  0.1444E+01  0.1444E+01  0.1403E+01  0.1869E+00  0.2862E-01  0.2862E-01  0.2862E-01  0.6871E-03
        32  0.3226E+00  0.1265E+01  0.1323E+01  0.1271E+01  0.1271E+01  0.1271E+01  0.1265E+01  0.4516E-01  0.4043E-02  0.4043E-02  0.4043E-02  0.2171E-04
        64  0.1587E+00  0.1145E+01  0.1159E+01  0.1146E+01  0.1146E+01  0.1146E+01  0.1145E+01  0.1156E-01  0.5581E-03  0.5581E-03  0.5581E-03  0.7132E-06
       128  0.7874E-01  0.1076E+01  0.1079E+01  0.1076E+01  0.1076E+01  0.1076E+01  0.1076E+01  0.2956E-02  0.7414E-04  0.7414E-04  0.7414E-04  0.2314E-07
       256  0.3922E-01  0.1038E+01  0.1039E+01  0.1038E+01  0.1038E+01  0.1038E+01  0.1038E+01  0.7501E-03  0.9584E-05  0.9584E-05  0.9584E-05  0.7394E-09
       512  0.1957E-01  0.1019E+01  0.1020E+01  0.1019E+01  0.1019E+01  0.1019E+01  0.1019E+01  0.1891E-03  0.1219E-05  0.1219E-05  0.1219E-05  0.2339E-10
      1024  0.9775E-02  0.1010E+01  0.1010E+01  0.1010E+01  0.1010E+01  0.1010E+01  0.1010E+01  0.4747E-04  0.1538E-06  0.1538E-06  0.1538E-06  0.7354E-12
         2  0.1000E+02 -0.1383E+01  0.1100E+02 -0.3900E+02 -0.3900E+02 -0.3900E+02  0.2110E+03  0.8953E+01  0.2720E+02  0.2720E+02  0.2720E+02  0.1536E+03
         4  0.3333E+01 -0.1172E+01  0.4333E+01 -0.1222E+01 -0.1222E+01 -0.1222E+01 -0.2251E+01  0.4697E+01  0.4264E-01  0.4264E-01  0.4264E-01  0.9203E+00
         8  0.1429E+01  0.1132E+01  0.2429E+01  0.1408E+01  0.1408E+01  0.1408E+01  0.1096E+01  0.1146E+01  0.2443E+00  0.2443E+00  0.2443E+00  0.3168E-01
        16  0.6667E+00  0.1404E+01  0.1667E+01  0.1444E+01  0.1444E+01  0.1444E+01  0.1403E+01  0.1869E+00  0.2862E-01  0.2862E-01  0.2862E-01  0.6871E-03
        32  0.3226E+00  0.1265E+01  0.1323E+01  0.1271E+01  0.1271E+01  0.1271E+01  0.1265E+01  0.4516E-01  0.4043E-02  0.4043E-02  0.4043E-02  0.2171E-04
        64  0.1587E+00  0.1145E+01  0.1159E+01  0.1146E+01  0.1146E+01  0.1146E+01  0.1145E+01  0.1156E-01  0.5581E-03  0.5581E-03  0.5581E-03  0.7132E-06
       128  0.7874E-01  0.1076E+01  0.1079E+01  0.1076E+01  0.1076E+01  0.1076E+01  0.1076E+01  0.2956E-02  0.7414E-04  0.7414E-04  0.7414E-04  0.2314E-07
       256  0.3922E-01  0.1038E+01  0.1039E+01  0.1038E+01  0.1038E+01  0.1038E+01  0.1038E+01  0.7501E-03  0.9584E-05  0.9584E-05  0.9584E-05  0.7394E-09
       512  0.1957E-01  0.1019E+01  0.1020E+01  0.1019E+01  0.1019E+01  0.1019E+01  0.1019E+01  0.1891E-03  0.1219E-05  0.1219E-05  0.1219E-05  0.2339E-10
      1024  0.9775E-02  0.1010E+01  0.1010E+01  0.1010E+01  0.1010E+01  0.1010E+01  0.1010E+01  0.4747E-04  0.1538E-06  0.1538E-06  0.1538E-06  0.7354E-12
      2048  0.4885E-02  0.1005E+01  0.1005E+01  0.1005E+01  0.1005E+01  0.1005E+01  0.1005E+01  0.1189E-04  0.1931E-07  0.1931E-07  0.1931E-07  0.2320E-13
      4096  0.2442E-02  0.1002E+01  0.1002E+01  0.1002E+01  0.1002E+01  0.1002E+01  0.1002E+01  0.2977E-05  0.2420E-08  0.2420E-08  0.2420E-08  0.8860E-15
      8192  0.1221E-02  0.1001E+01  0.1001E+01  0.1001E+01  0.1001E+01  0.1001E+01  0.1001E+01  0.7446E-06  0.3028E-09  0.3028E-09  0.3028E-09  0.2218E-15
     16384  0.6104E-03  0.1001E+01  0.1001E+01  0.1001E+01  0.1001E+01  0.1001E+01  0.1001E+01  0.1862E-06  0.3787E-10  0.3787E-10  0.3787E-10  0.2219E-15
     32768  0.3052E-03  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.4656E-07  0.4735E-11  0.4735E-11  0.4735E-11  0.0000E+00
     65536  0.1526E-03  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1164E-07  0.5919E-12  0.5919E-12  0.5919E-12  0.2220E-15
    131072  0.7629E-04  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.1000E+01  0.2910E-08  0.7394E-13  0.7394E-13  0.7394E-13  0.0000E+00
