      rx_fcc       ry_fcc       rz_fcc
 -0.4441E-15   0.4560E+01  -0.1140E+01
 -0.4441E-15   0.3420E+01  -0.4441E-15
 -0.1140E+01   0.4560E+01  -0.4441E-15
 -0.1140E+01   0.3420E+01   0.1140E+01
 -0.4441E-15   0.4560E+01   0.1140E+01
 -0.4441E-15   0.3420E+01   0.2280E+01
 -0.1140E+01   0.4560E+01   0.2280E+01
 -0.1140E+01   0.3420E+01   0.3420E+01
 -0.4441E-15   0.4560E+01   0.3420E+01
 -0.4441E-15   0.3420E+01   0.4560E+01
 -0.1140E+01   0.4560E+01   0.4560E+01
  0.1140E+01  -0.3420E+01  -0.3420E+01
  0.2280E+01  -0.2280E+01  -0.3420E+01
  0.2280E+01  -0.3420E+01  -0.2280E+01
  0.1140E+01  -0.2280E+01  -0.2280E+01
  0.1140E+01  -0.3420E+01  -0.1140E+01
  0.2280E+01  -0.2280E+01  -0.1140E+01
  0.2280E+01  -0.3420E+01  -0.4441E-15
  0.1140E+01  -0.2280E+01  -0.4441E-15
  0.1140E+01  -0.3420E+01   0.1140E+01
  0.2280E+01  -0.2280E+01   0.1140E+01
  0.2280E+01  -0.3420E+01   0.2280E+01
  0.1140E+01  -0.2280E+01   0.2280E+01
  0.1140E+01  -0.3420E+01   0.3420E+01
  0.2280E+01  -0.2280E+01   0.3420E+01
  0.2280E+01  -0.3420E+01   0.4560E+01
  0.1140E+01  -0.2280E+01   0.4560E+01
  0.1140E+01  -0.1140E+01  -0.3420E+01
  0.2280E+01  -0.4441E-15  -0.3420E+01
  0.2280E+01  -0.1140E+01  -0.2280E+01
  0.1140E+01  -0.4441E-15  -0.2280E+01
  0.1140E+01  -0.1140E+01  -0.1140E+01
  0.2280E+01  -0.4441E-15  -0.1140E+01
  0.2280E+01  -0.1140E+01  -0.4441E-15
  0.1140E+01  -0.4441E-15  -0.4441E-15
  0.1140E+01  -0.1140E+01   0.1140E+01
  0.2280E+01  -0.4441E-15   0.1140E+01
  0.2280E+01  -0.1140E+01   0.2280E+01
  0.1140E+01  -0.4441E-15   0.2280E+01
  0.1140E+01  -0.1140E+01   0.3420E+01
  0.2280E+01  -0.4441E-15   0.3420E+01
  0.2280E+01  -0.1140E+01   0.4560E+01
  0.1140E+01  -0.4441E-15   0.4560E+01
  0.1140E+01   0.1140E+01  -0.3420E+01
  0.2280E+01   0.2280E+01  -0.3420E+01
  0.2280E+01   0.1140E+01  -0.2280E+01
  0.1140E+01   0.2280E+01  -0.2280E+01
  0.1140E+01   0.1140E+01  -0.1140E+01
  0.2280E+01   0.2280E+01  -0.1140E+01
  0.2280E+01   0.1140E+01  -0.4441E-15
  0.1140E+01   0.2280E+01  -0.4441E-15
  0.1140E+01   0.1140E+01   0.1140E+01
  0.2280E+01   0.2280E+01   0.1140E+01
  0.2280E+01   0.1140E+01   0.2280E+01
  0.1140E+01   0.2280E+01   0.2280E+01
  0.1140E+01   0.1140E+01   0.3420E+01
  0.2280E+01   0.2280E+01   0.3420E+01
  0.2280E+01   0.1140E+01   0.4560E+01
  0.1140E+01   0.2280E+01   0.4560E+01
  0.1140E+01   0.3420E+01  -0.3420E+01
  0.2280E+01   0.4560E+01  -0.3420E+01
  0.2280E+01   0.3420E+01  -0.2280E+01
  0.1140E+01   0.4560E+01  -0.2280E+01
  0.1140E+01   0.3420E+01  -0.1140E+01
  0.2280E+01   0.4560E+01  -0.1140E+01
  0.2280E+01   0.3420E+01  -0.4441E-15
  0.1140E+01   0.4560E+01  -0.4441E-15
  0.1140E+01   0.3420E+01   0.1140E+01
  0.2280E+01   0.4560E+01   0.1140E+01
  0.2280E+01   0.3420E+01   0.2280E+01
  0.1140E+01   0.4560E+01   0.2280E+01
  0.1140E+01   0.3420E+01   0.3420E+01
  0.2280E+01   0.4560E+01   0.3420E+01
  0.2280E+01   0.3420E+01   0.4560E+01
  0.1140E+01   0.4560E+01   0.4560E+01
  0.3420E+01  -0.3420E+01  -0.3420E+01
  0.4560E+01  -0.2280E+01  -0.3420E+01
  0.4560E+01  -0.3420E+01  -0.2280E+01
  0.3420E+01  -0.2280E+01  -0.2280E+01
  0.3420E+01  -0.3420E+01  -0.1140E+01
  0.4560E+01  -0.2280E+01  -0.1140E+01
  0.4560E+01  -0.3420E+01  -0.4441E-15
  0.3420E+01  -0.2280E+01  -0.4441E-15
  0.3420E+01  -0.3420E+01   0.1140E+01
  0.4560E+01  -0.2280E+01   0.1140E+01
  0.4560E+01  -0.3420E+01   0.2280E+01
  0.3420E+01  -0.2280E+01   0.2280E+01
  0.3420E+01  -0.3420E+01   0.3420E+01
  0.4560E+01  -0.2280E+01   0.3420E+01
  0.4560E+01  -0.3420E+01   0.4560E+01
  0.3420E+01  -0.2280E+01   0.4560E+01
  0.3420E+01  -0.1140E+01  -0.3420E+01
  0.4560E+01  -0.4441E-15  -0.3420E+01
  0.4560E+01  -0.1140E+01  -0.2280E+01
  0.3420E+01  -0.4441E-15  -0.2280E+01
  0.3420E+01  -0.1140E+01  -0.1140E+01
  0.4560E+01  -0.4441E-15  -0.1140E+01
  0.4560E+01  -0.1140E+01  -0.4441E-15
  0.3420E+01  -0.4441E-15  -0.4441E-15
  0.3420E+01  -0.1140E+01   0.1140E+01
  0.4560E+01  -0.4441E-15   0.1140E+01
  0.4560E+01  -0.1140E+01   0.2280E+01
  0.3420E+01  -0.4441E-15   0.2280E+01
  0.3420E+01  -0.1140E+01   0.3420E+01
  0.4560E+01  -0.4441E-15   0.3420E+01
  0.4560E+01  -0.1140E+01   0.4560E+01
  0.3420E+01  -0.4441E-15   0.4560E+01
  0.3420E+01   0.1140E+01  -0.3420E+01
  0.4560E+01   0.2280E+01  -0.3420E+01
  0.4560E+01   0.1140E+01  -0.2280E+01
  0.3420E+01   0.2280E+01  -0.2280E+01
  0.3420E+01   0.1140E+01  -0.1140E+01
  0.4560E+01   0.2280E+01  -0.1140E+01
  0.4560E+01   0.1140E+01  -0.4441E-15
  0.3420E+01   0.2280E+01  -0.4441E-15
  0.3420E+01   0.1140E+01   0.1140E+01
  0.4560E+01   0.2280E+01   0.1140E+01
  0.4560E+01   0.1140E+01   0.2280E+01
  0.3420E+01   0.2280E+01   0.2280E+01
  0.3420E+01   0.1140E+01   0.3420E+01
  0.4560E+01   0.2280E+01   0.3420E+01
  0.4560E+01   0.1140E+01   0.4560E+01
  0.3420E+01   0.2280E+01   0.4560E+01
  0.3420E+01   0.3420E+01  -0.3420E+01
  0.4560E+01   0.4560E+01  -0.3420E+01
  0.4560E+01   0.3420E+01  -0.2280E+01
  0.3420E+01   0.4560E+01  -0.2280E+01
  0.3420E+01   0.3420E+01  -0.1140E+01
  0.4560E+01   0.4560E+01  -0.1140E+01
  0.4560E+01   0.3420E+01  -0.4441E-15
  0.3420E+01   0.4560E+01  -0.4441E-15
  0.3420E+01   0.3420E+01   0.1140E+01
  0.4560E+01   0.4560E+01   0.1140E+01
  0.4560E+01   0.3420E+01   0.2280E+01
  0.3420E+01   0.4560E+01   0.2280E+01
  0.3420E+01   0.3420E+01   0.3420E+01
  0.4560E+01   0.4560E+01   0.3420E+01
  0.4560E+01   0.3420E+01   0.4560E+01
  0.3420E+01   0.4560E+01   0.4560E+01
